"Part";"Value";"Device";"Package";"Description";"DIGIKEY";"MANUFACTURER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SPICEPREFIX";"STORE_ID";"VALUE";
"AMS1117";"LM1117";"V_REG_LM1117SOT223";"SOT223";"Voltage Regulator LM1117";"";"";"";"";"";"";"VREG-08170";"";"";"";
"C4";"100NF";"CERAMIC-1NF-1KV-10%-X7R(1206)";"C1206";"302010189";"";"";"";"CC1206KKX7RCBB102";"";"";"";"";"";"1NF";
"F1";"FUSE 2A";"PPTC_PTH";"PTH";"Resettable Fuse PPTC";"";"";"";"";"";"";"RES-08490";"";"";"72V/0.25A";
"FLASH";"B3U-1000P-2P-SMD";"B3U-1000P";"B3U-1000P";"Switch";"SW1020CT-ND";"Omron";"";"B3U-1000P";"";"";"";"F";"";"";
"J1";"";"CONN_04";"1X04";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"CONN-09696";"";"";"";
"J2";"";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";
"J3";"";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";
"J6";"8p";"CONN_09";"1X09";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";
"J7";"8p";"CONN_08"";"1X08";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"CONN-08438";"";"";"";
"OK1";"PC817";"PC817";"DIL04";"SHARP OPTO COUPLER";"";"";"";"PC817X4J000F";"9707727";"97K7059";"";"";"";"";
"R1";"1K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R2";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R3";"4k7";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R8";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R9";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R10";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R11";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"RESET";"B3U-1000P-2P-SMD";"B3U-1000P";"B3U-1000P";"Switch";"SW1020CT-ND";"Omron";"";"B3U-1000P";"";"";"";"";"";"";
"U$1";"SCREWTERMINALS_5MM_2";"SCREWTERMINALS_5MM_2";"TERMINAL_2X";"";"";"";"";"";"";"";"";"";"";"";
"U$2";"HKLPM01";"HKLPM01";"HKLPM01";"";"";"";"";"";"";"";"";"";"";"";
"U1";"DS18B20";"DS18B20";"TO-92-AMMO";"Dallas/Maxim DS18B20 1-Wire Temperature Sensor";"";"";"";"";"";"";"";"";"SEN-00245";"";
"U2";"esp12";"ESP12SMD";"ESP12-SMD";"ESP8266 Wifi module 12";"";"";"";"";"";"";"";"";"";"";
"X3";"";"W237-4";"W237-4";"WAGO SCREW CLAMP";"";"";"";"";"unknown";"unknown";"";"";"";"";
